content_id,title,href
596bc0548f37d1d86d6c31cca8f9f92f,Using the App Groups Risk Page,Apps_Group_Risk_Cloud_Risk_Specific_Information.html#navPoint_73
77418fa0299187c9a40def7996bb115f,Specific Information,Application_Risk_Cloud_Risk.html#navPoint_74
8ce6f2b7038eefa069ff55ffe91fd4de,Application Risk (Cloud Risk),Application_Risk_Cloud_Risk_Application_List.html#navPoint_75
a0d633b791cf0057d9339427fd2d610d,Application List,Application_Risk_Cloud_Risk_Using_the_Application_Risk_Page.html#navPoint_76
d5ddfd8985ee84edb0b67bc7c2d4f26a,Using the Application Risk Page,Application_Risk_Cloud_Risk_Using_the_Application_Risk_Page_Changing_the_Status_of_an_Application.html#navPoint_77
e4b4f51d7b222e117b7769a44759659a,Changing the Status of an Application,Application_Risk_Cloud_Risk_Individual_App_Details_Page.html#navPoint_78
6a786fea3f2883b4a103c2664f1e4c5f,Individual App Details Page,Audit.html#navPoint_79
3be9b96d40a531daa72e205b5c0ee659,Audit,Audit_Change_Log.html#navPoint_80
25e28fb196c94a22856a86984468cb44,Change Log,Audit_Risk_Posture.html#navPoint_81
4892e1d72f23215aaa8abb9642ee5e7b,Risk Posture,Audit_Risk_Posture_People_csv_File_Format.html#navPoint_82
3cf807b3626bf2f91b72c92307bd37a1,People csv File Format,Audit_Risk_Posture_Organizational_Groups_csv_File_Format.html#navPoint_83
e15576d46751d57156dff42f301206ac,Organizational Groups csv File Format,Audit_Risk_Posture_Application_csv_file_format_Cloud_Risk_only.html#navPoint_84
36296533ceb466d7f176a3d315560ae4,Application csv file format (Cloud Risk only),Settings.html#navPoint_85
774e20665c6463fbc4798d21f6754968,Settings,Settings_Risk_Score_Thresholds.html#navPoint_86
10ae4b46ce79d4b5814a54200570cac9,Risk Score Thresholds,Settings_Monitoring_Groups.html#navPoint_87
716003df13f7e56cf2a23f2399f72d5e,Monitoring Groups,Settings_Default_Risk.html#navPoint_88
d9d25128e733d4c0feeb45c3195cf5e5,Default Risk,Settings_People_Risk_Data_Sources_and_Residual_Risk.html#navPoint_89
339ffa75cdbdf659185b457795f69289,People Risk Data Sources and Residual Risk,Settings_Customizing_the_Data_Collection_Period.html#navPoint_90
2d9c94f97584c0af6f37a63586020af3,Customizing the Data Collection Period,Settings_Selecting_Security_Awareness_Training_Domains.html#navPoint_91
cb0408dfff91a693591569ad5a180c38,Selecting Security Awareness Training Domains,Settings_User_Exclusion_Filters.html#navPoint_92
5512f78edcaebf49d674485ee91aa446,User Exclusion Filters,Settings_Risk_Profiles.html#navPoint_93
8ce58b1597e4c241696f4b050f1d71ea,Risk Profiles,Settings_Countries.html#navPoint_94
f5cac682ed41389b293d0e5ebbbc64f5,Countries,Settings_Cloud_Discovery_Cloud_Risk.html#navPoint_95
